Galaxy,M_bar,R_max_kpc,Sigma,alpha_predicted,Predicted_RC,Observed_RC,Match
DDO 154,374924095.4064595,1.14,91.82982928315697,1.0160269006303375,Flat/Rising,Rising,True
DDO 168,383657199.46663076,1.15,92.34168581914186,1.0148512719330312,Flat/Rising,Rising,True
CVnIdwA,60805568.36733576,0.57,59.57221774806817,1.1075536848536203,Flat/Rising,Rising,True
DDO 52,349899524.51049876,1.3,65.90324131520671,1.0861924005754728,Flat/Rising,Rising,True
DDO 70,52959436.11453469,0.48,73.16628507801767,1.0640805406324354,Flat/Rising,Rising,True
